Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2022-09-27,2022,9,27,Tuesday,39,2022-39,99.04,99.58,96.49,97.23,24225000,-0.0072867070388887845,102.95571428571428,110.9444
2022-09-28,2022,9,28,Wednesday,39,2022-39,97.16,100.51,96.95,99.86,24617000,0.027015914644825223,102.34142857142857,110.6692
2022-09-29,2022,9,29,Thursday,39,2022-39,98.43,98.43,95.68,97.23,21921500,-0.026305254144156298,101.37214285714286,110.3398
2022-09-30,2022,9,30,Friday,39,2022-39,96.88,98.62,95.19,95.31,26277800,-0.01977772665327948,100.25928571428572,109.96539999999999
2022-10-03,2022,10,3,Monday,40,2022-40,96.37,99.1,96.17,98.43,24840000,0.032761357657288714,99.83357142857143,109.7858
2022-10-04,2022,10,4,Tuesday,40,2022-40,100.16,101.82,100.16,101.51,22580900,0.031319128486943626,99.58857142857143,109.6708
2022-10-05,2022,10,5,Wednesday,40,2022-40,99.81,101.84,98.87,101.33,18475500,-0.0018552853386162305,99.47,109.60700000000001
2022-10-06,2022,10,6,Thursday,40,2022-40,100.61,102.82,100.61,101.35,17156200,0.00019569185768264497,99.37214285714285,109.3818
2022-10-07,2022,10,7,Friday,40,2022-40,99.77,100.53,98.34,98.7,24249900,-0.026115046557494637,99.06928571428571,109.084
2022-10-10,2022,10,10,Monday,41,2022-41,98.98,99.12,97.01,97.85,16529900,-0.008637157672709672,98.84857142857143,108.72859999999999
2022-10-11,2022,10,11,Tuesday,41,2022-41,97.39,99.24,96.4,97.19,21617700,-0.006686215920384542,98.7092857142857,108.38300000000001
2022-10-12,2022,10,12,Wednesday,41,2022-41,97.41,98.78,96.82,97.44,17343400,0.002549827929984483,98.54857142857144,108.03399999999999
2022-10-13,2022,10,13,Thursday,41,2022-41,95.09,99.65,94.44,98.84,32812200,0.01434366126428488,98.58714285714284,107.656
2022-10-14,2022,10,14,Friday,41,2022-41,99.75,100.4,96.18,96.33,22624800,-0.025373586411020055,98.47142857142858,107.226
2022-10-17,2022,10,17,Monday,42,2022-42,98.65,100.88,98.64,99.9,23311600,0.03704471650895025,98.66214285714285,106.8802
2022-10-18,2022,10,18,Tuesday,42,2022-42,103.03,103.31,99.77,100.5,21610500,0.006052700513747178,98.70785714285714,106.54800000000002
2022-10-19,2022,10,19,Wednesday,42,2022-42,99.82,100.77,98.76,99.41,21573700,-0.01084903612200605,98.86357142857142,106.2068
2022-10-20,2022,10,20,Thursday,42,2022-42,99.94,102.1,99.1,99.65,25125100,0.0023929560631901214,99.17357142857144,105.80779999999999
2022-10-21,2022,10,21,Friday,42,2022-42,97.6,100.73,97.37,100.59,28988700,0.009449980813853953,99.32785714285714,105.4442
2022-10-24,2022,10,24,Monday,43,2022-43,101.2,102.2,99.42,102.07,24680800,0.014682737629654552,99.36785714285713,105.054
2022-10-25,2022,10,25,Tuesday,43,2022-43,102.4,104.18,102.12,104.01,29910200,0.019034677202951267,99.5592857142857,104.698
2022-10-26,2022,10,26,Wednesday,43,2022-43,95.91,97.68,93.74,93.99,71504300,-0.09635011214546618,99.03357142857143,104.149
2022-10-27,2022,10,27,Thursday,43,2022-43,93.49,94.34,91.1,91.79,54036500,-0.023412803001259697,98.53999999999999,103.59939999999999
2022-10-28,2022,10,28,Friday,43,2022-43,91.72,96.01,91.52,95.74,35696900,0.042980702657010594,98.3892857142857,103.11820000000002
2022-10-31,2022,10,31,Monday,44,2022-44,94.94,95.51,93.56,93.83,29868700,-0.019879905635018735,98.14928571428572,102.653
2022-11-01,2022,11,1,Tuesday,44,2022-44,94.75,95.32,89.64,89.71,43220600,-0.04394674619720229,97.59714285714287,102.166
2022-11-02,2022,11,2,Wednesday,44,2022-44,90.12,90.5,86.25,86.31,43553600,-0.03790065371439144,96.70214285714285,101.6168
2022-11-03,2022,11,3,Thursday,44,2022-44,85.59,85.79,82.72,82.76,48510400,-0.04111619006502165,95.73285714285714,100.99799999999999
2022-11-04,2022,11,4,Friday,44,2022-44,84.76,85.97,83.15,85.94,40173300,0.0384476253742545,94.7357142857143,100.3834
2022-11-07,2022,11,7,Monday,45,2022-45,86.58,88.16,86.2,87.88,26899900,0.02249147219725467,93.83428571428571,99.93439999999998
